{'data': {'num_labeled': 250}, 'steps': {'updates': 1024, 'epochs': 250, 'test_epoch': 10}, 'hp': {'bs': 64, 'wd': 0.0005, 'lr': 0.03}, 'ref': {'threshold': 0.95, 'τ': 0.333, 'μ': 7, 'α': 0.05, 'order': 2, 'particles': 4}, 'seed': 0, 'num_workers': 4}
Files already downloaded and verified
{'epoch': 0, 'test_acc': 10.04, 'test_loss': 4.225, 'ema_test_acc': 10.04, 'ema_test_loss': 4.225, 'particle_accs': [10.01, 9.56, 10.0, 10.19]}
{'epoch': 1, 'ce_loss': 0.38761057154087025, 'loss': 0.7841847319873314, 'H_y': 1.0108609186123076, 'H_yx': 0.40314151242832896, 'masks': 597.3743890518084}
{'epoch': 2, 'ce_loss': 0.05272096555720093, 'loss': 0.742967678712843, 'H_y': 0.7000967317196165, 'H_yx': 0.6487108121169977, 'masks': 1027.4115347018574}
{'epoch': 3, 'ce_loss': 0.03455062571162848, 'loss': 0.7081308081702403, 'H_y': 0.6418868490910833, 'H_yx': 0.6309819218583353, 'masks': 1121.3812316715544}
{'epoch': 4, 'ce_loss': 0.02659608224540665, 'loss': 0.6712947499484028, 'H_y': 0.5894757649649157, 'H_yx': 0.6026824951055346, 'masks': 1184.834799608993}
{'epoch': 5, 'ce_loss': 0.021008526172488017, 'loss': 0.6358037313058579, 'H_y': 0.5438504996304405, 'H_yx': 0.5738137332050681, 'masks': 1239.4183773216032}
{'epoch': 6, 'ce_loss': 0.01771296126664892, 'loss': 0.6150641745194895, 'H_y': 0.49575991426045596, 'H_yx': 0.5558995570430308, 'masks': 1290.565982404692}
{'epoch': 7, 'ce_loss': 0.014713714304944557, 'loss': 0.5988499519295939, 'H_y': 0.44814797294920605, 'H_yx': 0.541769379132654, 'masks': 1332.9521016617791}
{'epoch': 8, 'ce_loss': 0.012113417913333376, 'loss': 0.5812342337324472, 'H_y': 0.4107685115621703, 'H_yx': 0.5265500293216164, 'masks': 1373.533724340176}
{'epoch': 9, 'ce_loss': 0.011070268542049698, 'loss': 0.5702126053829231, 'H_y': 0.3759220004489578, 'H_yx': 0.51593572650021, 'masks': 1403.7380254154448}
{'epoch': 10, 'ce_loss': 0.00804170253765981, 'loss': 0.5563342161950011, 'H_y': 0.3466930865717074, 'H_yx': 0.5048275847763609, 'masks': 1439.2003910068427}
{'epoch': 10, 'test_acc': 73.14, 'test_loss': 2.0, 'ema_test_acc': 74.68, 'ema_test_loss': 1.947, 'particle_accs': [64.67, 66.57, 68.2, 64.22]}
{'epoch': 11, 'ce_loss': 0.007226291618661323, 'loss': 0.5534592403985654, 'H_y': 0.3202411149895203, 'H_yx': 0.5016738036802204, 'masks': 1466.8289345063538}
{'epoch': 12, 'ce_loss': 0.006551296319792337, 'loss': 0.5404715435187954, 'H_y': 0.3053586225618016, 'H_yx': 0.4899823210281361, 'masks': 1482.5591397849462}
{'epoch': 13, 'ce_loss': 0.006645788966057543, 'loss': 0.5379414592204089, 'H_y': 0.2912728821135919, 'H_yx': 0.4869444918539284, 'masks': 1499.3460410557184}
